Feature,Type,Description,Proccess,File,Source Code Lines,Page
SleepStartToMidnight(minutes),int,The minutes between midnight and sleep start time as we defined.,If the sleep start time was after 12:00 then: /n - (( 00:00 - SleepStartTime).seconds)/60 /n if sleep start time is before or equal to 12:00 then /n ((sleepStartTime -00:00).seconds) /60,Sleep All Subjects.csv,323,Extract Sleep
MidnightToSleepEnd(minutes),Float,The minutes between sleep end time and midnight.,(SleepEndTime - 00:00).seconds / 60,Sleep All Subjects.csv,325,Extract Sleep
MinutesToFallAsleep,Float,The time in minutes from when the subjects got to bed until he fall asleep.,The seconds between the time where the subject got in bed to the time where the first records that is not wake or awake in the sleep json,Sleep All Subjects.csv,,Extract Sleep
MinutesInBedAfterWakeup,Float,The time in minutes from when the subjects wake up until he get out of bed.,The seconds between the time where the last record in his sleep json that not equal to wake or awake until the time he got out of bed in the sleep json,Sleep All Subjects.csv,,Extract Sleep
MinutesToFallAsleep(fitbit calculation),Int,The amount of minutes fitbit defined that took the subject to fall asleep.,The value of the minutes to fall asleep in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
MinutesInBedAfterAwake(fitbit calculation),Int,The amount of minutes fitbit defined that took the subject to get out of bed after he wake up.,The value of the minutes after awake in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
NightDeepCount†,Int,Estimation of Fitbit of the amount of deep sleep at this night.,The value of theNightDeepCount†in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
NightDeepInMinutes†,Int,Estimation of Fitbit of the minutes that the subject was in deep sleep at this sleep.,The value of the NightDeepInMinutes in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
NightLightCount†,Int,Estimation of Fitbit of the amount of light sleep at this night.,The value of the NightLightCount† in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
NightLightInMinutes†,Int,Estimation of Fitbit of the minutes that the subject was in light sleep at this night.,The value of the NightLightInMinutes† in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
NightRemCount,Int,Estimation of Fitbit of the amount of REM sleep in that night.,The value of the NightRemCount in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
NightRemInMinutes†,Int,Estimation of Fitbit of the minutes that the subject was at REM sleep in this night.,The value of the NightRemInMinutes† in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
NightAwakeCount†,Int,Estimation of Fitbit of the amount of time that the subject woke up during that night.,The value of the NightAwakeCount† in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
NightAwakeInMinutes,Int,Estimation of Fitbit of the minutes that the subject was awake during this night.,The value of the NightAwakeInMinutes in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
MidDaySleepCount†,Int,Estimation of Fitbit of the amount of time that the subject slept during that day.,The value of the MidDaySleepCount in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
MidDaySleepInMinutes†,Int,Estimation of Fitbit of the minutes that the subject slept during this midday sleep.,The value of the MidDaySleepInMinutes in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
MidDayAwakeCount†,Int,Estimation of Fitbit of the amount of time that the subject woked up during the midday sleep.,The value of the MidDayAwakeCount in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
MidDayAwakeInMinutes†,Int,Estimation of Fitbit of the minutes that the subject was awake in bed during this midday sleep.,The value of the MidDayAwakeInMinutes in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
MidDayRestlessCount†,Int,Estimation of Fitbit of the amount of time that the subject was restless during that midday sleep.,The value of theMidDayRestlessCount†in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
MidDayRestlessInMinutes†,Int,Estimation of Fitbit of the minutes that the subject restless during this midday sleep.,The value of the MidDayRestlessInMinutes in the sleep json.,Sleep All Subjects.csv,188,Extract Sleep
Index†,Int,Index from 0 of the row.,,{subject} Steps.csv,,Preprocess
DateTime†,dateTime,The datetime of this sample.,Slicing the dates according to the subject dates. If the subject wasnt in israel and the dates specified. in the not in israel file then slicing out the dates. ,{subject} Steps.csv,,Preprocess
StepsInMinute ,Int,The number of steps in this minute.,The values that been recorded and represented as 'value' in the json file.,{subject} Steps.csv,,Preprocess
DateTime†,dateTime,The datetime of this sample.,Slicing the dates according to the subject dates. If the subject wasnt in israel and the dates specified. in the not in israel file then slicing out the dates. ,{subject} Heart Rate.csv,,Preprocess
NumOfValidSamples†,Int,The number of heart rate samples after cleaning the samples in this minute.,1. Check if the value of the confidence is higher than the threshold /n AND /n  (check if the bpm value is lower or equal to 180 AND higher or equal to 40) /n 2. Group values for a minute and aggregate them with the count function.,{subject} Heart Rate.csv,,Preprocess
NumOfValidSamplesAfterBfill†,Int,A 1 minute resolution vector that include the number of samples in this specific minute after the bFill missing values fill strategy.,1. Generating a vector of seconds for all the samples,{subject} Heart Rate.csv,,Preprocess
BpmMean†,Float,The most common value of the samples in this minute after the bfill.,The value of each minute that have more valid samples (before Bfill) that higher than a threshold (default to 4) /n OR /n more valid samples (after Bfill),{subject} Heart Rate.csv,,Preprocess
Mode†,String,If there is a valid value in this minute after the filters.,Unknown' if we not have any valid sample after filtering the seconds in this minute.,{subject} Heart Rate.csv,,Preprocess
Id,string,sub_id,,{subject} EDA.csv,,EDA
DayOfExperiment,Int,Number of days from the start of the experiment (from 1).,,{subject} EDA.csv,,EDA
ExperimentDates,Date,The date of the experiment day.,,{subject} EDA.csv,,EDA
StartMeasureTime,dateTime,The time where the subject start to recording his EDA.,This dateTime is calculated from the start_date_time column of the Mindfulness session csv file. /n The value from the csv file get through few converting steps: /n 1. converted to datetime.  /n  2. If there is not time zone in the value then +00:00 is added to the end of the value. /n 3. Then the timezone converted to Israel time zone (+02:00) /n 4. Then the addition of the time zone is dropped. /n /n If the measure time is between 00:00 and 05:00 then the date is assigned to the previous date.,{subject} EDA.csv,,EDA
EndMeasureTime,dateTime,The time where the subject finish to recording his EDA.,This dateTime is calculated from the end_date_time column of the Mindfulness session csv file. /n The value from the csv file get through few converting steps: /n 1. converted to datetime. /n 2. If there is not time zone in the value then +00:00 is added to the end of the value. /n 3. Then the timezone converted to Israel time zone (+02:00) /n 4. Then the addition of the time zone is dropped. /n /n If the measure time is between 00:00 and 05:00 then the date is assigned to the previous date.,{subject} EDA.csv,,EDA
MeasureInSeconds,int,The duration of the measure in seconds as being estimated by the Fitbit watch at the time of the recording.,This value come from the duration column of the Mindfulness EDA Data Sessions csv file. /n The correct session is selected by comparing the session_id of the correct row from the Mindfulness session  /n csv file. This file sliced by the dates of the subjects dates and the measure start and end time.,{subject} EDA.csv,,EDA
2MinutesMeanEDA,Float,The mean value of 2 minutes from a valid session.,"This metric is calculated by doing an average to the scl_avg column from the  /n Mindfulness EDA Data Sessions csv file, /n the correct sessions are selected by comparing the session_id. ",{subject} EDA.csv,,EDA
ValidMeanEDA,Float,"The mean value of the EDA scl signal, only for valid sessions that got True value by fitbit too.","This metric is calculated by doing an average to the scl_avg column from the /n Mindfulness EDA Data Sessions csv file, /n the correct sessions are selected by comparing the session_id. /n But in this metric, only the values that the value of the valid_data == True are selected.",{subject} EDA.csv,,EDA
StartHeartRate,int,The heart rate value in the minute that the eda recording started.,The intial heart rate value of this EDA recording as estimated by Fitbit at the start of the recording. /n This value come from the Mindfulness sessions csv file.,{subject} EDA.csv,,EDA
EndHeartRate,int,The heart rate value in the minute the eda recording finished.,The last heart rate value of this EDA recording as estimated by Fitbit at the end of the recording. /n This value come from the Mindfulness sessions csv file.,{subject} EDA.csv,,EDA
Id,string,sub_id,,EDA Summary.csv,,EDA
mean_2_minutes_EDA_mindfulness,Float,The unfiltered mean of the eda scl signal as fitbit calculated.,The mean of the 2 minutes eda measurements as recorded by the fitbit watch.,EDA Summary.csv,,EDA
std_2_minutes_EDA_mindfulness,Float,The unfiltered std of the eda scl signal as fitbit calculated.,The std of the 2 minutes eda measurements as recorded by the fitbit watch.,EDA Summary.csv,,EDA
mean_valid_2_minutes_EDA_mindfulness,Float,"The mean value, only of the valid eda sessions.",The mean of the 2 minutes eda measurement after cleaning the non valid measurements as identified in the eda csv file.,EDA Summary.csv,,EDA
std_valid_2_minutes_EDA_mindfulness,Float,"The std value, only of the valid eda sessions.",The std of the 2 minutes eda measurement after cleaning the non valid measurements as identified in the eda csv file.,EDA Summary.csv,,EDA
DateAndMinute,dateTime,The datetime of all the samples of all the subjects in the project.,,Steps.csv,,Preprocess
Id,String,Unique Identifier for each subject.,Iterating through each subject in the subjects dates csv file,{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
DayOfExperiment†,Int,Number of days from the start of the experiment (from 1).,For each unique date of 'DateOfSleepEvening' column a consecutive rank value is assigned.,{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
ExperimentDates†,Date,Date of the experiment day.,A date range array is created from the start date to the end date from the Subject Dates file. Include Not in Israel dates.,{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
DateOfSleepEvening†,Date,The date when the subject was a sleep.,The Date of the sleep,{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
HRV RMSSD Mean,,,"This metric has been calculated by slicing an RMSSD vector from the Heart Rate Variability csv file, between the SleepStartTime and SleepEndTime,Then, the mean of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
HRV Coverage Mean,,,"This metric has been calculated by slicing a coverage vector from the Heart Rate Variability csv file, between the SleepStartTime and SleepEndTime, then, the mean of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
HRV Low Frequency Mean,,,"This metric was calculated by slicing a low-frequency vector from the Heart Rate Variability CSV file between SleepStartTime and SleepEndTime. Then, the mean of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
HRV High Frequency Mean,,,This metric has been calculated by slicing a high-frequency vector from the Heart Rate Variability CSV file between the SleepStartTime and SleepEndTime; then the mean of this sliced vector is calculated.,{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
SleepTemperature,,,"This metric is the value of the nightly_temperature column from the computed temperature CSV file that  /n downloaded from Fitbit, which was calculated as a valid sleep. /n Calculated by the ValidSleep function: /n  1. SleepStartTime lower then 8:00 OR SleepStartTime greater or equal to 20:00 /n 2. The longest sleep (by our sleep duration metric) has been filtered from each date. /n 3. Filtering out all the sleep, we calculated it as less than 3 hours.",{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
Skin Temperature Mean,,,"This metric has been calculated by slicing the temperature vector from the device Temperature csv file, between the SleepStartTime and SleepEndTime. Then, the mean of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
Skin Temperature Min,,,"This metric has been calculated by slicing the temperature vector from the device temperature CSV file between the SleepStartTime and SleepEndTime. Then, the minimum of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
Skin Temperature Max,,,"This metric has been calculated by slicing the temperature vector from the device temperature CSV file between the SleepStartTime and SleepEndTime. Then, the maximum of this sliced vector is calculated.",{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
SleepBreathsInMinute Mean (Fitbit Calculation),,,"This metric is the value of the daily_respiratory_rate column in the device temperature CSV file downloaded from Fitbit, calculated as a valid sleep. /n Calculated by the ValidSleep function: /n 1. SleepStartTime lower than 8:00 OR SleepStartTime greater or equal to 20:00 /n 2. The longest sleep (by our sleep duration metric) has been filtered from each date. /n 3. Filtering out all the sleep, we calculated it as less than 3 hours.",{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
sleep_start_time,,,"The time of sleep as estimated by Fitbit in the monthly sleep JSON file of the subject, /n if /n The dateOfSleep is in the experiment date range, /n The type is not 'classic', /n The mainSleep == True, /n The isMainSleep == True",{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
deep_minutes,,,The value of the total minutes that Fitbit estimated that the subject was in deep sleep at this sleep.,{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
wake_minutes,,,The value of the total minutes that Fitbit estimated that the subject was awake at this sleep.,{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
light_minutes,,,The value of the total minutes that Fitbit estimated that the subject was in light sleep at this sleep.,{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
rem_minutes,,,The value of the total minutes that Fitbit estimated that the subject was in REM sleep at this sleep.,{subject} HRV Temperature Respiratory At Sleep.csv,,HRV Analysis
Id,String,Unique Identifier for each subject.,Iterating through each subject in the subjects dates csv file,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
FirstDayOfExperiment,,,The day in the week that the experiment started. The first date that identified in the sleep all subjects CSV,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
NumberOfValidSleeps,,,The total number of valid and main sleep of the subject,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
SumOfSleepValidSleeps,,,The Sum of minutes from the start sleep start time to the end time. Suppose the function's parameter excludes specific days without those days.,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
MinutesInBed (Fitbit Calculation) Day [i days of experiment],,,The minutes in bed for each day of experiment.,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
SleepTimeInMinutes (Fitbit Calculation) Day [i days of experiment],,,The minutes a sleep for each day of experiment by fitbit.,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
SleepTimeInMinutes (our Calculation: SleepEndTime-SleepStartTime) Day [i days of experiment],,,The minutes in asleep for each day of experiment.,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
MinutesAwake (Fitbit Calculation) Day [i days of experiment],,,The minutes in awake for each day of experiment by fitbit.,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Sleep Efficiency (SE SleepTimeInMinutes/MinutesInBed Ratio) Day [i days of experiment],,,The sleep efficiency index for each day of experiment.,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
MinutesToFallAsleep Day [i days of experiment],,,The minutes that took the subject to fall a sleep for each day of experiment.,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
NightAwakeCount Day [i days of experiment] ,,,The amount of time that the subject woke up for each day of experiment.,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
SleepStartToMidnight(minutes) Day [i days of experiment] ,,,The difference in minutes between the time the subject fall a sleep and midnight (sleep start time - midnight) for each day of experiment.,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
MidnightToSleepEnd(minutes) Day [i days of experiment],,,The difference in minutes between the time the subject wake up and midnight (sleep end time - midnight) for each day of experiment.,Sleep Daily Details (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Id,String,Unique Identifier for each subject.,Iterating through each subject in the subjects dates csv file,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
FirstDayOfExperiment,,,The day in the week that the experiment started. The first date that identified in the sleep all subjects CSV,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
NumberOfValidSleeps,,,The total number of valid and main sleep of the subject,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
SumOfSleepValidSleeps,,,The Sum of minutes from the start sleep start time to the end time. Suppose the function's parameter excludes specific days without those days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Mean MinutesInBed (Fitbit Calculation),,,"The mean of minutes in bed by fitbit, as identified in the sleep all subject for all his nights.",Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Std MinutesInBed (Fitbit Calculation),,,"The Std of minutes in bed by fitbit, as identified in the sleep all subject for all his nights.",Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
CV MinutesInBed (Fitbit Calculation),,,"The CV of minutes in bed by fitbit, as identified in the sleep all subject for all his nights.",Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Mean SleepTimeInMinutes (Fitbit Calculation),,,The mean of time a sleep for all the days of experriments of the subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Std SleepTimeInMinutes (Fitbit Calculation),,,The Std of time a sleep for all the days of experriments of the subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
CV SleepTimeInMinutes (Fitbit Calculation),,,The CV of time a sleep for all the days of experriments of the subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Mean SleepTimeInMinutes (our Calculation: SleepEndTime-SleepStartTime),,,The mean of time a sleep for all the days of experiment of the subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Std SleepTimeInMinutes (our Calculation: SleepEndTime-SleepStartTime),,,The Std of time a sleep for all the days of experiment of the subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
CV SleepTimeInMinutes (our Calculation: SleepEndTime-SleepStartTime),,,The CV of time a sleep for all the days of experiment of the subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Mean MinutesAwake (Fitbit Calculation),,,The mean of minutes that the sleep level of the subject was awake for all of his experiment days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Std MinutesAwake (Fitbit Calculation),,,The Std of minutes that the sleep level of the subject was awake for all of his experiment days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
CV MinutesAwake (Fitbit Calculation) ,,,The CV of minutes that the sleep level of the subject was awake for all of his experiment days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Mean Sleep Efficiency (SE SleepTimeInMinutes/MinutesInBed Ratio),,,The mean of the efficiency index of all days of experiment for the specific subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Std Sleep Efficiency (SE SleepTimeInMinutes/MinutesInBed Ratio),,,The Std of the efficiency index of all days of experiment for the specific subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
CV Sleep Efficiency (SE SleepTimeInMinutes/MinutesInBed Ratio),,,The CV of the efficiency index of all days of experiment for the specific subject.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Mean MinutesToFallAsleep,,,The mean time that took the subject to fall a sleep in all of his days of experiments.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Std MinutesToFallAsleep,,,The Std time that took the subject to fall a sleep in all of his days of experiments.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
CV MinutesToFallAsleep,,,The CV time that took the subject to fall a sleep in all of his days of experiments.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Mean NightAwakeCount,,,The mean of the times the subject wake up in nights through all of his experiments days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Std NightAwakeCount,,,The Std of the times the subject wake up in nights through all of his experiments days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
CV NightAwakeCount,,,The CV of the times the subject wake up in nights through all of his experiments days.,Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Mean SleepStartToMidnight(minutes),,,The mean of the difference of the minutes between the sleep start time and midnight.  (start time - midnight),Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Std SleepStartToMidnight(minutes),,,The Std of the difference of the minutes between the sleep start time and midnight.  (start time - midnight),Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
CV SleepStartToMidnight(minutes),,,The CV of the difference of the minutes between the sleep start time and midnight.  (start time - midnight),Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Mean MidnightToSleepEnd(minutes) ,,,The mean of the difference of the minutes between the sleep end time and midnight. (end time - midnight),Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
Std MidnightToSleepEnd(minutes),,,The Std of the difference of the minutes between the sleep end time and midnight. (end time - midnight),Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
CV MidnightToSleepEnd(minutes),,,The CV of the difference of the minutes between the sleep end time and midnight. (end time - midnight),Sleep Daily Summary (Full Week/Exclude (Thursday/Friday/Thursday and Friday)).csv,,
DateAndMinute,,,This dateTime column includes concatenated dates and minutes of all the steps and heart rate data  for the specific subject.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
Weekday,,,The literal name of the day in the week according to the date in DateAndMinute.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
BpmMean,,,The bpmMean as presented in the heart rate file of the specific subject.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
NumOfValidSamples,,,The number of valid bpm samples in the specific minute as filtered by the heart rate process function in the first filtering step.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
NumOfAllSamples,,,The number of all the bpm samples in the specific minute as represented in the heart rate json file.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
NumOfValidSamplesAfterBfill,,,The number of valid bpm samples in the specific minute as filtered by the heart rate process function in the second filtering step.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
StepsInMinute,,,The number of all the steps sampled in the specific minute as represented in the steps json file.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
SleepFeature,,,"The label of the specific sleep feature. /n The sleep features that are currently available are ""pre-sleep"" and 'post-sleep', /n they are defined as: /n  pre-sleep - if the specific minute is within a range of one hour before the valid sleep. /n  Post-sleep - if the specific minute is within one hour after the valid sleep.",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
Mode,,,"The label of the specific activity value. /n The activity values that are currently available are 'sleeping', 'in_bed', 'awake', and 'unknown'. /n they defined as: /n sleeping - minutes in the time between the start of sleep time and end of sleep time. /n in_bed - minutes in the time between the bed start time and bed end time. /n awake - minutes that are not labeled as sleep or rest. /n unknown - minutes that we have no heart rate samples from /n and or /n we can't determine correctly when the sleep start time was or ended. (mainly due to missing data)",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
Activity,,,"The label of the specific activity value. /n The activity values that are currently available are 'sleeping', 'in_bed', 'awake', and 'unknown'. /n they defined as: /n sleeping - minutes in the time between the start of sleep time and end of sleep time. /n The activity values that are currently available are 'sleep', 'rest', 'awake', 'unknown', 'low_activity', 'high_activity', and 'med_activity'. They defined as: /n Sleep - minutes in the time between the start of sleep time and the end of sleep time. /n Rest - minutes between bed start time and bed end time /n and or /n minutes where there is no steps data and the mode is awake. /n Awake - minutes that are not labeled as sleep nor rest. /n Unknown - minutes that we have no heart rate samples from /n  and or /n we can't determine correctly when the sleep start time was or ended. (mainly due to missing data) /n low_activity - minutes where the subject was awake and his steps value was between 1 to 9 per minute. /n med_activity  - minutes where the subject was awake and his steps value was between 10 to 49 per minute. /n high_activity  - minutes where the subject was awake and his step value was more than 50 per minute.",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
10_min_pre_high_activity,,,"Label of 10_min_pre_high_activity or "" "" as the only values. The label will appear on minutes that are 10 minutes pre the high_activity starts.",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
10_min_post_high_activity,,,"Label 10_min_post_high_activity or "" "" as the only values. The label will appear on minutes that are identified as 10 minutes post the high_activity appeared.",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
Feature,,,"Label whether the minute can be labeled as one of the activity values described above or whether the minute is 10 minutes before or after high_activity. In addition, an ""Invalid sleep"" label was added for minutes where the sleep is invalid.",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
ValidSleep,,,False where the feature is sleep and the sleep was identified as not valid in the sleep all subjects csv file.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
Weekend,,,"True if the row is identified as a weekend by this logic: /n 1. First, the code looks to Thursday in the date range of the experiment. /n 2. If there is valid sleep data from this date, if there is valid sleep data on Saturday, then: /n - Weekend starts at the end of Thursday's sleep and ends at the end of Saturday's sleep. /n 3. If there is valid sleep data from this date, if there is no valid sleep data on Saturday, then: /n The weekend starts at the end of Thursday's sleep and ends on Sunday at the subject's mean sleep end time. /n 4. If there is no valid sleep data for this date, if there is valid sleep data for Sathurday then: /n The weekend starts on Thursday at the time of the mean end of sleep of this subject and ends at the end of Saturday's sleep. /n 5. If there is no valid sleep data for this date and there is no valid sleep data for Sathurday then: /n -  Weekend starts on Thursday at the time of the mean end sleep of this subject and /n end on Sunday at the mean sleep end time of the subject /n",{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
z_score,,,The z_score of the bpmMean of the feature of the specific subject in this row.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
z_score_outlier_above_2_7,,,False if the z_score value of this row is above 2.7.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
ValidSleep,,,False if the bpmMean value is below the 25 percentile or above the 75 percentile of the feature in the specific row.,{subject} Heart Rate and Steps and Sleep Aggregated.csv,,
