Id,ExperimentStartDate,ExperimentStartTime,ExperimentEndDate,ExperimentEndTime,Device,group
E094,27/12/2023,18:41,01/02/2024,21:50,novastudy_084@labs.hevra.haifa.ac.il,EXP
E095,27/12/2023,18:40,10/02/2024,18:50,novastudy_105@labs.hevra.haifa.ac.il,EXP
E096,29/01/2024,13:50,07/02/2024,17:00,novastudy_091@labs.hevra.haifa.ac.il,EXP
E099,14/01/2024,15:15,22/02/2024,17:30,novastudy_098@labs.hevra.haifa.ac.il,EXP
E103,11/01/2024,13:30,04/02/2024,14:25,novastudy_106@labs.hevra.haifa.ac.il,EXP
E104,10/01/2024,15:13,11/01/2024,08:10,novastudy_097@labs.hevra.haifa.ac.il,EXP
E105,10/01/2024,17:18,14/02/2024,15:40,novastudy_111@labs.hevra.haifa.ac.il,EXP
E106,04/02/2024,18:10,13/03/2024,13:53,novastudy_064@labs.hevra.haifa.ac.il,EXP
E109,18/01/2024,16:10,22/02/2024,15:00,novastudy_128@labs.hevra.haifa.ac.il,EXP
E111,17/01/2024,13:49,22/02/2024,14:00,novastudy_125@labs.hevra.haifa.ac.il,EXP
E112,28/02/2024,16:17,01/04/2024,10:00,novastudy_101@labs.hevra.haifa.ac.il,EXP
E116,15/01/2024,20:40,17/02/2024,17:40,novastudy_119@labs.hevra.haifa.ac.il,EXP
E117,15/01/2024,20:50,22/02/2024,22:00,novastudy_120@labs.hevra.haifa.ac.il,EXP
E118,15/01/2024,18:35,26/02/2024,17:45,novastudy_112@labs.hevra.haifa.ac.il,EXP
E119,17/01/2024,15:15,22/02/2024,18:00,novastudy_126@labs.hevra.haifa.ac.il,EXP
E123,18/01/2024,10:20,26/02/2024,14:20,novastudy_123@labs.hevra.haifa.ac.il,EXP
E124,17/01/2024,12:30,06/03/2024,16:50,novastudy_124@labs.hevra.haifa.ac.il,EXP
E125,31/01/2024,14:41,02/03/2024,21:30,novastudy_090@labs.hevra.haifa.ac.il,EXP
E126,24/01/2024,17:30,25/02/2024,10:30,novastudy_135@labs.hevra.haifa.ac.il,EXP
E127,23/01/2024,18:10,24/02/2024,20:00,novastudy_129@labs.hevra.haifa.ac.il,EXP
E128,23/01/2024,18:10,24/02/2024,19:25,novastudy_131@labs.hevra.haifa.ac.il,EXP
E129,23/01/2024,18:10,24/02/2024,09:00,novastudy_132@labs.hevra.haifa.ac.il,EXP
E134,23/01/2024,18:10,25/02/2024,07:55,novastudy_130@labs.hevra.haifa.ac.il,EXP
E135,24/01/2024,18:30,11/02/2024,16:49,novastudy_136@labs.hevra.haifa.ac.il,EXP
E136,04/02/2024,12:00,10/03/2024,12:20,novastudy_023@labs.hevra.haifa.ac.il,EXP
E138,25/01/2024,16:00,26/02/2024,15:00,novastudy_121@labs.hevra.haifa.ac.il,EXP
E140,25/01/2024,16:58,07/03/2024,17:00,novastudy_127@labs.hevra.haifa.ac.il,EXP
E142,28/01/2024,15:40,29/02/2024,10:30,novastudy_008@labs.hevra.haifa.ac.il,EXP
E143,24/01/2024,10:35,07/03/2024,13:30,novastudy_133@labs.hevra.haifa.ac.il,EXP
E144,24/01/2024,16:24,25/02/2024,14:55,novastudy_134@labs.hevra.haifa.ac.il,EXP
E147,28/01/2024,13:06,03/03/2024,12:30,novastudy_139@labs.hevra.haifa.ac.il,EXP
E148,19/02/2024,14:15,21/03/2024,18:30,novastudy_062@labs.hevra.haifa.ac.il,EXP
E149,25/01/2024,13:35,29/02/2024,15:37,novastudy_094@labs.hevra.haifa.ac.il,EXP
E150,31/01/2024,12:10,28/02/2024,17:00,novastudy_089@labs.hevra.haifa.ac.il,EXP
E151,29/02/2024,12:50,31/03/2024,13:53,novastudy_033@labs.hevra.haifa.ac.il,EXP
E152,25/01/2024,18:38,09/03/2024,14:00,novastudy_137@labs.hevra.haifa.ac.il,EXP
E153,26/01/2024,10:30,15/02/2024,21:30,novastudy_138@labs.hevra.haifa.ac.il,EXP
E155,01/02/2024,21:00,04/03/2024,07:55,novastudy_061@labs.hevra.haifa.ac.il,EXP
E159,31/01/2024,17:45,16/03/2024,20:00,novastudy_092@labs.hevra.haifa.ac.il,EXP
E160,25/01/2024,16:15,16/02/2024,17:30,novastudy_122@labs.hevra.haifa.ac.il,EXP
E164,01/02/2024,19:52,07/03/2024,12:00,novastudy_047@labs.hevra.haifa.ac.il,EXP
E165,04/02/2024,14:45,05/03/2024,21:00,novastudy_030@labs.hevra.haifa.ac.il,EXP
E168,11/02/2024,14:30,13/03/2024,18:00,novastudy_028@labs.hevra.haifa.ac.il,EXP
E174,11/03/2024,15:30,17/04/2024,15:30,novastudy_125@labs.hevra.haifa.ac.il,EXP
E177,07/03/2024,12:40,11/04/2024,12:15,novastudy_051@labs.hevra.haifa.ac.il,EXP
E178,14/02/2024,13:04,17/03/2024,14:00,novastudy_024@labs.hevra.haifa.ac.il,EXP
E179,07/02/2024,12:25,07/03/2024,15:00,novastudy_052@labs.hevra.haifa.ac.il,EXP
E184,19/02/2024,14:15,29/03/2024,09:40,novastudy_065@labs.hevra.haifa.ac.il,EXP
E186,28/02/2024,16:30,30/03/2024,19:00,novastudy_102@labs.hevra.haifa.ac.il,EXP
E195,10/03/2024,14:50,14/04/2024,00:00,novastudy_097@labs.hevra.haifa.ac.il,EXP
E205,14/02/2024,13:00,27/03/2024,14:28,novastudy_041@labs.hevra.haifa.ac.il,EXP
E222,26/02/2024,14:33,28/03/2024,10:00,novastudy_060@labs.hevra.haifa.ac.il,EXP
E224,19/02/2024,16:26,18/03/2024,20:20,novastudy_045@labs.hevra.haifa.ac.il,EXP
E227,19/02/2024,16:40,24/03/2024,14:25,novastudy_085@labs.hevra.haifa.ac.il,EXP
E228,19/02/2024,15:36,24/03/2024,12:40,novastudy_029@labs.hevra.haifa.ac.il,EXP
E229,19/02/2024,15:37,06/04/2024,22:41,novastudy_056@labs.hevra.haifa.ac.il,EXP
E230,19/02/2024,16:35,25/02/2024,01:55,novastudy_036@labs.hevra.haifa.ac.il,EXP
E231,19/02/2024,14:15,27/03/2024,07:30,novastudy_088@labs.hevra.haifa.ac.il,EXP
E232,22/02/2024,15:45,27/03/2024,09:30,novastudy_073@labs.hevra.haifa.ac.il,EXP
E233,29/02/2024,13:10,06/04/2024,23:30,novastudy_100@labs.hevra.haifa.ac.il,EXP
E236,07/03/2024,15:00,08/04/2024,19:00,novastudy_120@labs.hevra.haifa.ac.il,EXP
E246,13/03/2024,17:05,25/04/2024,12:00,novastudy_008@labs.hevra.haifa.ac.il,EXP
E249,14/02/2024,12:20,16/03/2024,08:30,novastudy_055@labs.hevra.haifa.ac.il,EXP
E253,22/02/2024,16:11,22/03/2024,05:00,novastudy_043@labs.hevra.haifa.ac.il,EXP
E254,05/03/2024,13:30,17/04/2024,11:00,novastudy_084@labs.hevra.haifa.ac.il,EXP
E261,15/02/2024,20:35,14/03/2024,22:30,novastudy_083@labs.hevra.haifa.ac.il,EXP
E265,18/02/2024,15:45,17/03/2024,15:30,novastudy_079@labs.hevra.haifa.ac.il,EXP
E268,29/02/2024,19:00,31/03/2024,17:00,novastudy_071@labs.hevra.haifa.ac.il,EXP
E271,29/02/2024,13:45,03/04/2024,13:00,novastudy_104@labs.hevra.haifa.ac.il,EXP
E272,25/02/2024,15:30,04/04/2024,14:00,novastudy_076@labs.hevra.haifa.ac.il,EXP
E273,07/03/2024,18:30,09/04/2024,20:00,novastudy_106@labs.hevra.haifa.ac.il,EXP
E289,29/02/2024,14:10,29/03/2024,06:00,novastudy_038@labs.hevra.haifa.ac.il,EXP
E292,11/03/2024,16:20,18/04/2024,12:50,novastudy_126@labs.hevra.haifa.ac.il,EXP
E293,05/03/2024,20:25,05/04/2024,02:00,novastudy_096@labs.hevra.haifa.ac.il,EXP
E308,11/03/2024,15:15,21/03/2024,21:45,novastudy_128@labs.hevra.haifa.ac.il,EXP
E309,22/02/2024,12:25,25/03/2024,14:30,novastudy_087@labs.hevra.haifa.ac.il,EXP
E312,28/02/2024,15:16,01/04/2024,12:30,novastudy_054@labs.hevra.haifa.ac.il,EXP
E313,29/02/2024,14:20,31/03/2024,16:00,novastudy_099@labs.hevra.haifa.ac.il,EXP
E316,07/03/2024,10:20,11/04/2024,00:00,novastudy_042@labs.hevra.haifa.ac.il,EXP
E321,29/02/2024,18:18,27/03/2024,16:00,novastudy_108@labs.hevra.haifa.ac.il,EXP
E325,18/02/2024,16:58,17/03/2024,19:00,novastudy_069@labs.hevra.haifa.ac.il,EXP
E326,07/03/2024,18:00,21/04/2024,16:30,novastudy_131@labs.hevra.haifa.ac.il,EXP
E332,28/02/2024,13:20,26/03/2024,07:30,novastudy_086@labs.hevra.haifa.ac.il,EXP
E336,19/02/2024,14:40,28/02/2024,01:00,novastudy_027@labs.hevra.haifa.ac.il,EXP
E337,19/02/2024,18:00,21/03/2024,16:30,novastudy_022@labs.hevra.haifa.ac.il,EXP
E338,19/02/2024,18:15,25/03/2024,19:50,novastudy_046@labs.hevra.haifa.ac.il,EXP
E339,19/02/2024,15:00,21/03/2024,11:50,novastudy_044@labs.hevra.haifa.ac.il,EXP
E343,25/02/2024,18:36,01/04/2024,00:00,novastudy_075@labs.hevra.haifa.ac.il,EXP
E349,29/02/2024,18:50,02/04/2024,19:00,novastudy_058@labs.hevra.haifa.ac.il,EXP
E352,22/02/2024,14:30,22/03/2024,17:00,novastudy_072@labs.hevra.haifa.ac.il,EXP
E368,29/02/2024,17:15,31/03/2024,16:00,novastudy_105@labs.hevra.haifa.ac.il,EXP
E372,11/03/2024,12:37,17/04/2024,00:50,novastudy_111@labs.hevra.haifa.ac.il,EXP
E373,07/03/2024,12:13,08/04/2024,14:00,novastudy_068@labs.hevra.haifa.ac.il,EXP
E374,22/02/2024,16:05,28/03/2024,14:15,novastudy_082@labs.hevra.haifa.ac.il,EXP
E375,29/02/2024,14:45,31/03/2024,20:45,novastudy_025@labs.hevra.haifa.ac.il,EXP
E376,07/03/2024,16:16,09/04/2024,15:40,novastudy_112@labs.hevra.haifa.ac.il,EXP
E377,25/02/2024,18:17,28/03/2024,11:00,novastudy_081@labs.hevra.haifa.ac.il,EXP
E378,14/03/2024,10:24,14/04/2024,23:40,novastudy_124@labs.hevra.haifa.ac.il,EXP
E381,07/03/2024,13:20,09/04/2024,16:00,novastudy_077@labs.hevra.haifa.ac.il,EXP
E385,29/02/2024,13:20,10/04/2024,12:30,novastudy_078@labs.hevra.haifa.ac.il,EXP
E386,07/03/2024,14:00,08/04/2024,20:00,novastudy_098@labs.hevra.haifa.ac.il,EXP
E387,11/03/2024,17:00,13/04/2024,09:42,novastudy_135@labs.hevra.haifa.ac.il,EXP
E412,13/03/2024,15:30,17/04/2024,12:00,novastudy_132@labs.hevra.haifa.ac.il,EXP
E414,13/03/2024,17:20,08/04/2024,08:00,novastudy_009@labs.hevra.haifa.ac.il,EXP
E418,07/03/2024,13:05,09/04/2024,15:05,novastudy_063@labs.hevra.haifa.ac.il,EXP
E419,07/03/2024,17:58,11/04/2024,15:15,novastudy_109@labs.hevra.haifa.ac.il,EXP
E421,07/03/2024,13:39,10/04/2024,13:00,novastudy_067@labs.hevra.haifa.ac.il,EXP
E423,13/03/2024,15:55,17/04/2024,12:00,novastudy_130@labs.hevra.haifa.ac.il,EXP
E428,10/03/2024,14:00,24/03/2024,12:10,novastudy_066@labs.hevra.haifa.ac.il,EXP
E435,07/03/2024,14:40,13/04/2024,09:00,novastudy_119@labs.hevra.haifa.ac.il,EXP
E436,07/03/2024,17:00,10/04/2024,01:30,novastudy_129@labs.hevra.haifa.ac.il,EXP
E511,25/02/2024,17:20,25/03/2024,15:00,novastudy_021@labs.hevra.haifa.ac.il,EXP
E518,13/03/2024,11:15,18/04/2024,12:50,novastudy_080@labs.hevra.haifa.ac.il,EXP
E527,10/03/2024,15:02,14/04/2024,13:22,novastudy_110@labs.hevra.haifa.ac.il,EXP
E534,04/03/2024,14:15,31/03/2024,08:00,novastudy_040@labs.hevra.haifa.ac.il,EXP
E550,05/03/2024,20:41,07/04/2024,08:15,novastudy_095@labs.hevra.haifa.ac.il,EXP
E557,13/03/2024,16:50,17/04/2024,16:30,novastudy_121@labs.hevra.haifa.ac.il,EXP
P_E_001,19/11/2023,14:00,24/12/2023,13:00,novastudy_002@labs.hevra.haifa.ac.il,EXP
PE002,21/11/2023,15:00,21/12/2023,22:00,novastudy_012@labs.hevra.haifa.ac.il,EXP
PE003,21/11/2023,15:50,25/12/2023,16:30,novastudy_020@labs.hevra.haifa.ac.il,EXP
PE004,21/11/2023,15:30,21/12/2023,10:00,novastudy_010@labs.hevra.haifa.ac.il,EXP
PE006,21/11/2023,16:30,21/12/2023,19:40,novastudy_018@labs.hevra.haifa.ac.il,EXP
PE007,21/11/2023,15:30,26/12/2023,17:30,novastudy_011@labs.hevra.haifa.ac.il,EXP
PE008,21/11/2023,15:58,26/12/2023,12:00,novastudy_013@labs.hevra.haifa.ac.il,EXP
PE009,21/11/2023,15:30,25/12/2023,16:35,novastudy_017@labs.hevra.haifa.ac.il,EXP
PE010,21/11/2023,15:30,23/12/2023,12:00,novastudy_016@labs.hevra.haifa.ac.il,EXP
PE011,27/11/2023,11:30,25/12/2023,12:00,novastudy_015@labs.hevra.haifa.ac.il,EXP
PE012,25/11/2023,17:00,26/12/2023,15:48,novastudy_019@labs.hevra.haifa.ac.il,EXP
C013,06/05/2024,15:15,10/06/2024,12:25,novastudy_133@labs.hevra.haifa.ac.il,HC
C016,08/02/2024,15:26,09/03/2024,23:56,novastudy_035@labs.hevra.haifa.ac.il,HC
C017,19/06/2024,14:30,23/07/2024,10:00,novastudy_048@labs.hevra.haifa.ac.il,HC
C0178,07/07/2024,17:00,19/08/2024,09:55,novastudy_083@labs.hevra.haifa.ac.il,HC
C0205,07/07/2024,14:30,11/08/2024,15:25,novastudy_067@labs.hevra.haifa.ac.il,HC
C0227,07/07/2024,17:28,11/08/2024,15:15,novastudy_044@labs.hevra.haifa.ac.il,HC
C0234,26/06/2024,16:10,31/07/2024,14:05,novastudy_059@labs.hevra.haifa.ac.il,HC
C0237,29/05/2024,16:35,10/07/2024,17:30,novastudy_086@labs.hevra.haifa.ac.il,HC
C0238,29/05/2024,17:12,10/07/2024,17:30,novastudy_060@labs.hevra.haifa.ac.il,HC
C0239,29/05/2024,18:37,10/07/2024,17:40,novastudy_036@labs.hevra.haifa.ac.il,HC
C024,16/05/2024,14:58,21/06/2024,12:55,novastudy_015@labs.hevra.haifa.ac.il,HC
C0241,02/06/2024,16:35,07/07/2024,16:45,novastudy_054@labs.hevra.haifa.ac.il,HC
C0244,10/07/2024,19:50,15/08/2024,09:40,novastudy_038@labs.hevra.haifa.ac.il,HC
C0246,16/06/2024,17:00,21/07/2024,16:08,novastudy_040@labs.hevra.haifa.ac.il,HC
C0247,16/06/2024,14:14,24/07/2024,12:00,novastudy_025@labs.hevra.haifa.ac.il,HC
C0248,16/06/2024,14:30,25/07/2024,17:00,novastudy_099@labs.hevra.haifa.ac.il,HC
C025,05/05/2024,17:32,07/06/2024,22:00,novastudy_094@labs.hevra.haifa.ac.il,HC
C0250,16/06/2024,15:30,18/07/2024,14:13,novastudy_071@labs.hevra.haifa.ac.il,HC
C0252,16/06/2024,14:30,07/07/2024,15:07,novastudy_084@labs.hevra.haifa.ac.il,HC
C0253,16/06/2024,18:25,22/07/2024,00:00,novastudy_098@labs.hevra.haifa.ac.il,HC
C0254,16/06/2024,18:15,16/07/2024,17:00,novastudy_051@labs.hevra.haifa.ac.il,HC
C0255,19/06/2024,16:00,24/07/2024,16:25,novastudy_070@labs.hevra.haifa.ac.il,HC
C0256,19/06/2024,14:20,24/07/2024,17:25,novastudy_095@labs.hevra.haifa.ac.il,HC
C0257,19/06/2024,14:15,23/07/2024,20:00,novastudy_068@labs.hevra.haifa.ac.il,HC
C0260,19/06/2024,18:00,23/07/2024,15:00,novastudy_034@labs.hevra.haifa.ac.il,HC
C0261,30/06/2024,16:20,04/08/2024,13:00,novastudy_089@labs.hevra.haifa.ac.il,HC
C0262,23/06/2024,14:30,27/07/2024,12:00,novastudy_092@labs.hevra.haifa.ac.il,HC
C0263,23/06/2024,14:20,24/07/2024,17:30,novastudy_140@labs.hevra.haifa.ac.il,HC
C027,08/02/2024,14:23,10/03/2024,13:45,novastudy_057@labs.hevra.haifa.ac.il,HC
C0270,26/06/2024,15:30,31/07/2024,13:50,novastudy_030@labs.hevra.haifa.ac.il,HC
C0271,26/06/2024,15:05,30/07/2024,20:00,novastudy_064@labs.hevra.haifa.ac.il,HC
C0272,26/06/2024,16:20,03/07/2024,20:00,novastudy_057@labs.hevra.haifa.ac.il,HC
C0273,26/06/2024,17:00,11/07/2024,08:00,novastudy_079@labs.hevra.haifa.ac.il,HC
C0274,26/06/2024,16:55,01/08/2024,14:20,novastudy_035@labs.hevra.haifa.ac.il,HC
C0275,26/06/2024,18:10,31/07/2024,18:15,novastudy_029@labs.hevra.haifa.ac.il,HC
C0276,26/06/2024,18:10,06/08/2024,12:25,novastudy_045@labs.hevra.haifa.ac.il,HC
C0277,03/07/2024,16:30,14/08/2024,15:00,novastudy_052@labs.hevra.haifa.ac.il,HC
C0278,26/06/2024,18:00,06/08/2024,12:31,novastudy_010@labs.hevra.haifa.ac.il,HC
C0279,26/06/2024,14:40,31/07/2024,13:14,novastudy_090@labs.hevra.haifa.ac.il,HC
C0280,30/06/2024,14:15,26/07/2024,11:00,novastudy_019@labs.hevra.haifa.ac.il,HC
C0281,30/06/2024,15:00,11/08/2024,15:00,novastudy_011@labs.hevra.haifa.ac.il,HC
C0282,30/06/2024,14:20,25/08/2024,04:45,novastudy_013@labs.hevra.haifa.ac.il,HC
C0283,30/06/2024,18:40,04/08/2024,14:30,novastudy_032@labs.hevra.haifa.ac.il,HC
C0284,30/06/2024,18:10,25/07/2024,21:00,novastudy_047@labs.hevra.haifa.ac.il,HC
C0285,30/06/2024,18:20,04/08/2024,09:00,novastudy_061@labs.hevra.haifa.ac.il,HC
C0287,30/06/2024,18:30,04/08/2024,17:30,novastudy_023@labs.hevra.haifa.ac.il,HC
C0288,03/07/2024,17:40,14/08/2024,16:38,novastudy_050@labs.hevra.haifa.ac.il,HC
C0289,03/07/2024,18:35,07/08/2024,19:30,novastudy_077@labs.hevra.haifa.ac.il,HC
C0290,10/07/2024,18:15,15/08/2024,11:05,novastudy_101@labs.hevra.haifa.ac.il,HC
C0295,07/07/2024,16:20,11/08/2024,13:50,novastudy_028@labs.hevra.haifa.ac.il,HC
C0296,07/07/2024,16:30,11/08/2024,15:55,novastudy_055@labs.hevra.haifa.ac.il,HC
C0297,07/07/2024,16:30,21/08/2024,17:30,novastudy_024@labs.hevra.haifa.ac.il,HC
C0298,07/07/2024,15:55,11/08/2024,14:00,novastudy_039@labs.hevra.haifa.ac.il,HC
C0299,07/07/2024,16:00,11/08/2024,15:20,novastudy_031@labs.hevra.haifa.ac.il,HC
C0325,10/07/2024,14:30,14/08/2024,16:00,novastudy_065@labs.hevra.haifa.ac.il,HC
C0326,07/07/2024,15:30,28/07/2024,12:55,novastudy_066@labs.hevra.haifa.ac.il,HC
C0327,07/07/2024,15:45,28/07/2024,12:55,novastudy_109@labs.hevra.haifa.ac.il,HC
C0328,10/07/2024,19:50,19/08/2024,15:35,novastudy_033@labs.hevra.haifa.ac.il,HC
C0329,10/07/2024,14:30,14/08/2024,15:35,novastudy_027@labs.hevra.haifa.ac.il,HC
C033,01/02/2024,14:10,05/03/2024,00:00,novastudy_053@labs.hevra.haifa.ac.il,HC
