,DateAndMinute,StepsInMinute
2507,2024-02-01 20:03:00,0
2508,2024-02-01 20:04:00,0
2509,2024-02-01 20:05:00,0
2510,2024-02-01 20:06:00,0
2511,2024-02-01 20:07:00,0
2512,2024-02-01 20:08:00,0
2513,2024-02-01 20:09:00,28
2514,2024-02-01 20:10:00,8
2515,2024-02-01 20:11:00,0
2516,2024-02-01 20:15:00,0
2517,2024-02-01 20:16:00,0
2518,2024-02-01 20:17:00,0
2519,2024-02-01 20:19:00,0
2520,2024-02-01 20:21:00,0
2521,2024-02-01 20:23:00,0
2522,2024-02-01 20:24:00,0
2523,2024-02-01 20:25:00,0
2524,2024-02-01 20:26:00,0
2525,2024-02-01 20:27:00,0
2526,2024-02-01 20:28:00,0
2527,2024-02-01 20:29:00,0
2528,2024-02-01 20:30:00,0
2529,2024-02-01 20:35:00,0
2530,2024-02-01 20:40:00,0
2531,2024-02-01 20:41:00,0
2532,2024-02-01 20:42:00,0
2533,2024-02-01 20:44:00,0
2534,2024-02-01 20:45:00,0
2535,2024-02-01 20:46:00,0
2536,2024-02-01 20:49:00,0
2537,2024-02-01 20:51:00,0
2538,2024-02-01 20:54:00,0
2539,2024-02-01 20:55:00,0
2540,2024-02-01 20:56:00,0
2541,2024-02-01 20:57:00,0
2542,2024-02-01 20:58:00,0
2543,2024-02-01 20:59:00,0
2544,2024-02-01 21:01:00,0
2545,2024-02-01 21:02:00,0
2546,2024-02-01 21:03:00,0
2547,2024-02-01 21:04:00,0
2548,2024-02-01 21:05:00,0
2549,2024-02-01 21:07:00,0
2550,2024-02-01 21:09:00,18
2551,2024-02-01 21:10:00,29
2552,2024-02-01 21:11:00,18
2553,2024-02-01 21:12:00,0
2554,2024-02-01 21:13:00,4
2555,2024-02-01 21:14:00,0
2556,2024-02-01 21:15:00,0
2557,2024-02-01 21:16:00,0
2558,2024-02-01 21:17:00,0
2559,2024-02-01 21:18:00,0
2560,2024-02-01 21:19:00,0
2561,2024-02-01 21:20:00,0
2562,2024-02-01 21:21:00,0
2563,2024-02-01 21:22:00,57
2564,2024-02-01 21:23:00,23
2565,2024-02-01 21:24:00,13
2566,2024-02-01 21:25:00,0
2567,2024-02-01 21:26:00,0
2568,2024-02-01 21:27:00,0
2569,2024-02-01 21:28:00,0
2570,2024-02-01 21:29:00,6
2571,2024-02-01 21:30:00,0
2572,2024-02-01 21:31:00,0
2573,2024-02-01 21:32:00,0
2574,2024-02-01 21:33:00,0
2575,2024-02-01 21:34:00,0
2576,2024-02-01 21:35:00,0
2577,2024-02-01 21:36:00,0
2578,2024-02-01 21:37:00,0
2579,2024-02-01 21:38:00,0
2580,2024-02-01 21:39:00,0
2581,2024-02-01 21:40:00,0
2582,2024-02-01 21:41:00,0
2583,2024-02-01 21:42:00,0
2584,2024-02-01 21:43:00,0
2585,2024-02-01 21:44:00,0
2586,2024-02-01 21:45:00,0
2587,2024-02-01 21:46:00,0
2588,2024-02-01 21:47:00,0
2589,2024-02-01 21:48:00,0
2590,2024-02-01 21:49:00,0
2591,2024-02-01 21:50:00,0
2592,2024-02-01 21:51:00,0
2593,2024-02-01 21:52:00,0
2594,2024-02-01 21:53:00,0
2595,2024-02-01 21:54:00,0
2596,2024-02-01 21:55:00,0
2597,2024-02-01 21:56:00,0
2598,2024-02-01 21:57:00,0
2599,2024-02-01 21:58:00,0
2600,2024-02-01 21:59:00,0
2601,2024-02-01 22:00:00,0
2602,2024-02-01 22:01:00,0
2603,2024-02-01 22:05:00,0
2604,2024-02-01 22:06:00,0
2605,2024-02-01 22:07:00,0
2606,2024-02-01 22:08:00,0
2607,2024-02-01 22:09:00,0
2608,2024-02-01 22:10:00,0
2609,2024-02-01 22:11:00,0
2610,2024-02-01 22:12:00,0
2611,2024-02-01 22:13:00,0
2612,2024-02-01 22:14:00,0
2613,2024-02-01 22:15:00,0
2614,2024-02-01 22:16:00,0
2615,2024-02-01 22:17:00,7
2616,2024-02-01 22:18:00,0
2617,2024-02-01 22:19:00,0
2618,2024-02-01 22:20:00,0
2619,2024-02-01 22:21:00,0
2620,2024-02-01 22:22:00,0
2621,2024-02-01 22:23:00,7
2622,2024-02-01 22:24:00,20
2623,2024-02-01 22:25:00,41
2624,2024-02-01 22:26:00,0
2625,2024-02-01 22:27:00,11
2626,2024-02-01 22:28:00,0
2627,2024-02-01 22:29:00,0
2628,2024-02-01 22:30:00,0
2629,2024-02-01 22:31:00,0
2630,2024-02-01 22:32:00,0
2631,2024-02-01 22:33:00,0
2632,2024-02-01 22:34:00,0
2633,2024-02-01 22:35:00,0
2634,2024-02-01 22:36:00,0
2635,2024-02-01 22:37:00,25
2636,2024-02-01 22:38:00,6
2637,2024-02-01 22:39:00,10
2638,2024-02-01 22:40:00,6
2639,2024-02-01 22:41:00,12
2640,2024-02-01 22:42:00,0
2641,2024-02-01 22:43:00,0
2642,2024-02-01 22:44:00,8
2643,2024-02-01 22:45:00,25
2644,2024-02-01 22:46:00,20
2645,2024-02-01 22:47:00,0
2646,2024-02-01 22:48:00,0
2647,2024-02-01 22:49:00,6
2648,2024-02-01 22:50:00,0
2649,2024-02-01 22:51:00,0
2650,2024-02-01 22:52:00,6
2651,2024-02-01 22:53:00,0
2652,2024-02-01 22:54:00,11
2653,2024-02-01 22:55:00,0
2654,2024-02-01 22:56:00,0
2655,2024-02-01 22:58:00,0
2656,2024-02-01 23:01:00,0
2657,2024-02-01 23:02:00,0
2658,2024-02-01 23:03:00,0
2659,2024-02-01 23:05:00,0
2660,2024-02-01 23:06:00,0
2661,2024-02-01 23:07:00,0
2662,2024-02-01 23:08:00,0
2663,2024-02-01 23:10:00,0
2664,2024-02-01 23:11:00,0
2665,2024-02-01 23:13:00,0
2666,2024-02-01 23:14:00,0
2667,2024-02-01 23:15:00,0
2668,2024-02-01 23:16:00,0
2669,2024-02-01 23:17:00,0
2670,2024-02-01 23:18:00,0
2671,2024-02-01 23:24:00,0
2672,2024-02-01 23:25:00,0
2673,2024-02-01 23:26:00,0
2674,2024-02-01 23:27:00,0
2675,2024-02-01 23:28:00,0
2676,2024-02-01 23:29:00,0
2677,2024-02-01 23:30:00,0
2678,2024-02-01 23:31:00,0
2679,2024-02-01 23:32:00,0
2680,2024-02-01 23:33:00,0
2681,2024-02-01 23:34:00,0
2682,2024-02-01 23:35:00,0
2683,2024-02-01 23:36:00,0
2684,2024-02-01 23:37:00,0
2685,2024-02-01 23:38:00,0
2686,2024-02-01 23:39:00,0
2687,2024-02-01 23:40:00,0
2688,2024-02-01 23:46:00,0
2689,2024-02-01 23:47:00,0
2690,2024-02-01 23:53:00,0
2691,2024-02-01 23:56:00,0
2692,2024-02-01 23:59:00,0
2693,2024-02-02 00:00:00,0
2694,2024-02-02 00:01:00,0
2695,2024-02-02 00:02:00,0
2696,2024-02-02 00:03:00,0
2697,2024-02-02 00:12:00,0
2698,2024-02-02 00:13:00,0
2699,2024-02-02 00:16:00,0
2700,2024-02-02 00:17:00,0
2701,2024-02-02 00:22:00,0
2702,2024-02-02 00:23:00,0
2703,2024-02-02 00:25:00,0
2704,2024-02-02 00:26:00,0
2705,2024-02-02 00:28:00,21
2706,2024-02-02 00:29:00,9
2707,2024-02-02 00:30:00,17
2708,2024-02-02 00:31:00,0
2709,2024-02-02 00:32:00,0
2710,2024-02-02 00:35:00,0
2711,2024-02-02 00:36:00,0
2712,2024-02-02 00:38:00,0
2713,2024-02-02 00:49:00,0
2714,2024-02-02 00:50:00,0
2715,2024-02-02 00:51:00,12
2716,2024-02-02 00:52:00,0
2717,2024-02-02 00:57:00,0
2718,2024-02-02 01:08:00,0
2719,2024-02-02 01:13:00,7
2720,2024-02-02 01:14:00,0
2721,2024-02-02 01:21:00,0
2722,2024-02-02 01:22:00,8
2723,2024-02-02 02:26:00,0
2724,2024-02-02 02:35:00,0
2725,2024-02-02 02:48:00,0
2726,2024-02-02 02:50:00,0
2727,2024-02-02 02:56:00,0
2728,2024-02-02 03:20:00,9
2729,2024-02-02 03:41:00,0
2730,2024-02-02 03:53:00,0
2731,2024-02-02 03:54:00,0
2732,2024-02-02 04:17:00,0
2733,2024-02-02 04:19:00,7
2734,2024-02-02 04:29:00,11
2735,2024-02-02 04:30:00,0
2736,2024-02-02 04:31:00,0
2737,2024-02-02 04:32:00,0
2738,2024-02-02 04:33:00,0
2739,2024-02-02 04:34:00,0
2740,2024-02-02 04:35:00,0
2741,2024-02-02 04:36:00,0
2742,2024-02-02 04:37:00,15
2743,2024-02-02 04:38:00,0
2744,2024-02-02 04:39:00,0
2745,2024-02-02 04:40:00,0
2746,2024-02-02 04:41:00,0
2747,2024-02-02 04:42:00,0
2748,2024-02-02 04:43:00,12
2749,2024-02-02 04:44:00,21
2750,2024-02-02 04:45:00,0
2751,2024-02-02 04:56:00,0
2752,2024-02-02 06:02:00,0
2753,2024-02-02 06:12:00,0
2754,2024-02-02 06:20:00,0
2755,2024-02-02 06:27:00,0
2756,2024-02-02 07:20:00,0
2757,2024-02-02 08:14:00,0
2758,2024-02-02 08:57:00,0
2759,2024-02-02 08:59:00,23
2760,2024-02-02 09:03:00,0
2761,2024-02-02 09:04:00,0
2762,2024-02-02 09:34:00,0
2763,2024-02-02 09:58:00,16
2764,2024-02-02 09:59:00,5
2765,2024-02-02 10:00:00,8
2766,2024-02-02 10:01:00,0
2767,2024-02-02 10:02:00,0
2768,2024-02-02 10:03:00,0
2769,2024-02-02 10:04:00,7
2770,2024-02-02 10:05:00,0
2771,2024-02-02 10:06:00,0
2772,2024-02-02 10:07:00,5
2773,2024-02-02 10:08:00,0
2774,2024-02-02 10:09:00,0
2775,2024-02-02 10:10:00,8
2776,2024-02-02 10:11:00,18
2777,2024-02-02 10:12:00,0
2778,2024-02-02 10:13:00,0
2779,2024-02-02 10:19:00,0
2780,2024-02-02 10:20:00,0
2781,2024-02-02 10:21:00,0
2782,2024-02-02 10:24:00,0
2783,2024-02-02 10:25:00,0
2784,2024-02-02 10:29:00,0
2785,2024-02-02 10:30:00,0
2786,2024-02-02 10:31:00,0
2787,2024-02-02 10:34:00,0
2788,2024-02-02 10:35:00,0
2789,2024-02-02 10:36:00,0
2790,2024-02-02 10:37:00,0
2791,2024-02-02 10:38:00,0
2792,2024-02-02 10:40:00,0
2793,2024-02-02 10:41:00,0
2794,2024-02-02 10:45:00,0
2795,2024-02-02 10:46:00,0
2796,2024-02-02 10:48:00,0
2797,2024-02-02 10:49:00,0
2798,2024-02-02 10:52:00,0
2799,2024-02-02 10:53:00,0
2800,2024-02-02 10:54:00,0
2801,2024-02-02 10:55:00,0
2802,2024-02-02 11:00:00,0
2803,2024-02-02 11:02:00,0
2804,2024-02-02 11:03:00,0
2805,2024-02-02 11:09:00,0
2806,2024-02-02 11:10:00,0
2807,2024-02-02 11:13:00,0
2808,2024-02-02 11:14:00,0
2809,2024-02-02 11:15:00,0
2810,2024-02-02 11:19:00,0
2811,2024-02-02 11:21:00,0
2812,2024-02-02 11:26:00,0
2813,2024-02-02 11:28:00,0
2814,2024-02-02 11:32:00,0
2815,2024-02-02 11:33:00,0
2816,2024-02-02 11:39:00,0
2817,2024-02-02 11:41:00,0
2818,2024-02-02 11:42:00,0
2819,2024-02-02 11:51:00,8
2820,2024-02-02 11:52:00,6
2821,2024-02-02 11:53:00,15
2822,2024-02-02 11:54:00,13
2823,2024-02-02 11:55:00,0
2824,2024-02-02 11:56:00,0
2825,2024-02-02 11:57:00,0
2826,2024-02-02 11:58:00,0
2827,2024-02-02 11:59:00,6
2828,2024-02-02 12:00:00,0
2829,2024-02-02 12:01:00,0
2830,2024-02-02 12:02:00,0
2831,2024-02-02 12:03:00,0
2832,2024-02-02 12:04:00,0
2833,2024-02-02 12:05:00,8
2834,2024-02-02 12:06:00,0
2835,2024-02-02 12:07:00,0
2836,2024-02-02 12:08:00,0
2837,2024-02-02 12:09:00,0
2838,2024-02-02 12:10:00,0
2839,2024-02-02 12:11:00,0
2840,2024-02-02 12:12:00,0
2841,2024-02-02 12:13:00,0
2842,2024-02-02 12:14:00,0
2843,2024-02-02 12:15:00,0
2844,2024-02-02 12:16:00,0
2845,2024-02-02 12:17:00,0
2846,2024-02-02 12:18:00,0
2847,2024-02-02 12:19:00,0
2848,2024-02-02 12:20:00,0
2849,2024-02-02 12:21:00,0
2850,2024-02-02 12:22:00,0
2851,2024-02-02 12:23:00,0
2852,2024-02-02 12:24:00,0
2853,2024-02-02 12:25:00,0
2854,2024-02-02 12:26:00,0
2855,2024-02-02 12:27:00,0
2856,2024-02-02 12:28:00,0
2857,2024-02-02 12:29:00,0
2858,2024-02-02 12:30:00,0
2859,2024-02-02 12:31:00,0
2860,2024-02-02 12:32:00,0
2861,2024-02-02 12:33:00,0
2862,2024-02-02 12:34:00,0
2863,2024-02-02 12:35:00,0
2864,2024-02-02 12:36:00,0
2865,2024-02-02 12:37:00,0
2866,2024-02-02 12:38:00,0
2867,2024-02-02 12:39:00,0
2868,2024-02-02 12:40:00,0
2869,2024-02-02 12:43:00,7
2870,2024-02-02 12:44:00,20
2871,2024-02-02 12:45:00,38
2872,2024-02-02 12:46:00,30
2873,2024-02-02 12:47:00,15
2874,2024-02-02 12:48:00,22
2875,2024-02-02 12:49:00,0
2876,2024-02-02 12:50:00,0
2877,2024-02-02 12:51:00,0
2878,2024-02-02 12:52:00,0
2879,2024-02-02 12:53:00,0
2880,2024-02-02 12:54:00,0
2881,2024-02-02 12:55:00,0
2882,2024-02-02 12:56:00,0
2883,2024-02-02 12:57:00,0
2884,2024-02-02 12:58:00,0
2885,2024-02-02 12:59:00,0
2886,2024-02-02 13:00:00,0
2887,2024-02-02 13:01:00,0
2888,2024-02-02 13:02:00,0
2889,2024-02-02 13:03:00,0
2890,2024-02-02 13:04:00,0
2891,2024-02-02 13:05:00,0
2892,2024-02-02 13:06:00,0
2893,2024-02-02 13:07:00,0
2894,2024-02-02 13:08:00,0
2895,2024-02-02 13:09:00,0
2896,2024-02-02 13:10:00,0
2897,2024-02-02 13:13:00,0
2898,2024-02-02 13:14:00,0
2899,2024-02-02 13:15:00,0
2900,2024-02-02 13:16:00,0
2901,2024-02-02 13:17:00,0
2902,2024-02-02 13:18:00,0
2903,2024-02-02 13:19:00,0
2904,2024-02-02 13:20:00,0
2905,2024-02-02 13:21:00,0
2906,2024-02-02 13:22:00,0
2907,2024-02-02 13:23:00,0
2908,2024-02-02 13:24:00,0
2909,2024-02-02 13:25:00,0
2910,2024-02-02 13:26:00,0
2911,2024-02-02 13:27:00,0
2912,2024-02-02 13:28:00,0
2913,2024-02-02 13:29:00,0
2914,2024-02-02 13:30:00,0
2915,2024-02-02 13:31:00,0
2916,2024-02-02 13:32:00,0
2917,2024-02-02 13:33:00,0
2918,2024-02-02 13:34:00,0
2919,2024-02-02 13:35:00,0
2920,2024-02-02 13:36:00,0
2921,2024-02-02 13:37:00,0
2922,2024-02-02 13:38:00,0
2923,2024-02-02 13:39:00,0
2924,2024-02-02 13:40:00,0
2925,2024-02-02 13:41:00,0
2926,2024-02-02 13:42:00,0
2927,2024-02-02 13:43:00,0
2928,2024-02-02 13:44:00,0
2929,2024-02-02 13:45:00,0
2930,2024-02-02 13:46:00,0
2931,2024-02-02 13:47:00,0
2932,2024-02-02 13:48:00,0
2933,2024-02-02 13:49:00,0
2934,2024-02-02 13:52:00,0
2935,2024-02-02 13:53:00,0
2936,2024-02-02 13:54:00,0
2937,2024-02-02 13:55:00,0
2938,2024-02-02 13:56:00,0
2939,2024-02-02 13:57:00,0
2940,2024-02-02 13:58:00,0
2941,2024-02-02 13:59:00,0
2942,2024-02-02 14:01:00,0
2943,2024-02-02 14:02:00,0
2944,2024-02-02 14:03:00,0
2945,2024-02-02 14:04:00,0
2946,2024-02-02 14:05:00,24
2947,2024-02-02 14:06:00,0
2948,2024-02-02 14:07:00,0
2949,2024-02-02 14:08:00,0
2950,2024-02-02 14:09:00,0
2951,2024-02-02 14:10:00,0
2952,2024-02-02 14:11:00,0
2953,2024-02-02 14:12:00,0
2954,2024-02-02 14:13:00,0
2955,2024-02-02 14:14:00,0
2956,2024-02-02 14:15:00,0
2957,2024-02-02 14:16:00,15
2958,2024-02-02 14:17:00,0
2959,2024-02-02 14:18:00,0
2960,2024-02-02 14:19:00,0
2961,2024-02-02 14:20:00,0
2962,2024-02-02 14:21:00,0
2963,2024-02-02 14:22:00,0
2964,2024-02-02 14:23:00,0
2965,2024-02-02 14:24:00,0
2966,2024-02-02 14:25:00,0
2967,2024-02-02 14:26:00,0
2968,2024-02-02 14:27:00,0
2969,2024-02-02 14:28:00,0
2970,2024-02-02 14:29:00,0
2971,2024-02-02 14:30:00,0
2972,2024-02-02 14:31:00,0
2973,2024-02-02 14:32:00,0
2974,2024-02-02 14:33:00,0
2975,2024-02-02 14:34:00,0
2976,2024-02-02 14:35:00,0
2977,2024-02-02 14:36:00,0
2978,2024-02-02 14:37:00,0
2979,2024-02-02 14:38:00,0
2980,2024-02-02 14:39:00,0
2981,2024-02-02 14:40:00,0
2982,2024-02-02 14:41:00,0
2983,2024-02-02 14:42:00,0
2984,2024-02-02 14:43:00,0
2985,2024-02-02 14:44:00,0
2986,2024-02-02 14:45:00,0
2987,2024-02-02 14:46:00,0
2988,2024-02-02 14:47:00,0
2989,2024-02-02 14:48:00,0
2990,2024-02-02 14:49:00,0
2991,2024-02-02 14:50:00,0
2992,2024-02-02 14:51:00,0
2993,2024-02-02 14:52:00,0
2994,2024-02-02 14:53:00,0
2995,2024-02-02 14:54:00,0
2996,2024-02-02 14:55:00,0
2997,2024-02-02 14:56:00,0
2998,2024-02-02 14:57:00,0
2999,2024-02-02 14:58:00,0
3000,2024-02-02 14:59:00,0
3001,2024-02-02 15:00:00,0
3002,2024-02-02 15:01:00,0
3003,2024-02-02 15:02:00,0
3004,2024-02-02 15:03:00,0
3005,2024-02-02 15:04:00,0
3006,2024-02-02 15:05:00,0
3007,2024-02-02 15:06:00,0
3008,2024-02-02 15:07:00,0
3009,2024-02-02 15:08:00,0
3010,2024-02-02 15:09:00,0
3011,2024-02-02 15:10:00,0
3012,2024-02-02 15:11:00,0
3013,2024-02-02 15:12:00,0
3014,2024-02-02 15:13:00,0
3015,2024-02-02 15:14:00,0
3016,2024-02-02 15:15:00,0
3017,2024-02-02 15:16:00,0
3018,2024-02-02 15:17:00,0
3019,2024-02-02 15:18:00,0
3020,2024-02-02 15:19:00,0
3021,2024-02-02 15:20:00,0
3022,2024-02-02 15:21:00,0
3023,2024-02-02 15:22:00,9
3024,2024-02-02 15:23:00,8
3025,2024-02-02 15:24:00,8
3026,2024-02-02 15:25:00,18
3027,2024-02-02 15:26:00,0
3028,2024-02-02 15:27:00,0
3029,2024-02-02 15:28:00,0
3030,2024-02-02 15:29:00,0
3031,2024-02-02 15:30:00,0
3032,2024-02-02 15:31:00,17
3033,2024-02-02 15:32:00,0
3034,2024-02-02 15:33:00,0
3035,2024-02-02 15:34:00,0
3036,2024-02-02 15:35:00,0
3037,2024-02-02 15:36:00,0
3038,2024-02-02 15:37:00,0
3039,2024-02-02 15:38:00,0
3040,2024-02-02 15:39:00,0
3041,2024-02-02 15:40:00,0
3042,2024-02-02 15:41:00,0
3043,2024-02-02 15:42:00,0
3044,2024-02-02 15:43:00,0
3045,2024-02-02 15:44:00,0
3046,2024-02-02 15:45:00,0
3047,2024-02-02 15:46:00,0
3048,2024-02-02 15:47:00,0
3049,2024-02-02 15:48:00,0
3050,2024-02-02 15:49:00,0
3051,2024-02-02 15:50:00,0
3052,2024-02-02 15:51:00,0
3053,2024-02-02 15:52:00,0
3054,2024-02-02 15:53:00,0
3055,2024-02-02 15:54:00,0
3056,2024-02-02 15:55:00,0
3057,2024-02-02 15:57:00,0
3058,2024-02-02 15:59:00,0
3059,2024-02-02 16:00:00,0
3060,2024-02-02 16:01:00,0
3061,2024-02-02 16:02:00,0
3062,2024-02-02 16:03:00,0
3063,2024-02-02 16:06:00,0
3064,2024-02-02 16:07:00,0
3065,2024-02-02 16:08:00,0
3066,2024-02-02 16:09:00,0
3067,2024-02-02 16:10:00,0
3068,2024-02-02 16:11:00,0
3069,2024-02-02 16:12:00,0
3070,2024-02-02 16:13:00,0
3071,2024-02-02 16:14:00,0
3072,2024-02-02 16:15:00,0
3073,2024-02-02 16:16:00,0
3074,2024-02-02 16:17:00,0
3075,2024-02-02 16:20:00,0
3076,2024-02-02 16:21:00,0
3077,2024-02-02 16:22:00,0
3078,2024-02-02 16:23:00,0
3079,2024-02-02 16:24:00,0
3080,2024-02-02 16:25:00,0
3081,2024-02-02 16:27:00,0
3082,2024-02-02 16:28:00,0
3083,2024-02-02 16:29:00,0
3084,2024-02-02 16:30:00,0
3085,2024-02-02 16:31:00,0
3086,2024-02-02 16:32:00,0
3087,2024-02-02 16:33:00,0
3088,2024-02-02 16:34:00,0
3089,2024-02-02 16:35:00,0
3090,2024-02-02 16:36:00,6
3091,2024-02-02 16:37:00,0
3092,2024-02-02 16:38:00,31
3093,2024-02-02 16:39:00,0
3094,2024-02-02 16:40:00,0
3095,2024-02-02 16:41:00,0
3096,2024-02-02 16:42:00,24
3097,2024-02-02 16:43:00,8
3098,2024-02-02 16:44:00,0
3099,2024-02-02 16:45:00,0
3100,2024-02-02 16:46:00,0
3101,2024-02-02 16:49:00,0
3102,2024-02-02 16:50:00,0
3103,2024-02-02 16:51:00,0
3104,2024-02-02 16:52:00,0
3105,2024-02-02 16:53:00,0
3106,2024-02-02 16:54:00,0
3107,2024-02-02 16:55:00,0
3108,2024-02-02 16:56:00,0
3109,2024-02-02 16:57:00,0
3110,2024-02-02 17:01:00,0
3111,2024-02-02 17:02:00,0
3112,2024-02-02 17:04:00,0
3113,2024-02-02 17:06:00,0
3114,2024-02-02 17:07:00,0
3115,2024-02-02 17:08:00,0
3116,2024-02-02 17:09:00,0
3117,2024-02-02 17:10:00,0
3118,2024-02-02 17:11:00,0
3119,2024-02-02 17:12:00,0
3120,2024-02-02 17:13:00,0
3121,2024-02-02 17:14:00,15
3122,2024-02-02 17:15:00,20
3123,2024-02-02 17:16:00,31
3124,2024-02-02 17:17:00,38
3125,2024-02-02 17:18:00,0
3126,2024-02-02 17:19:00,20
3127,2024-02-02 17:20:00,19
3128,2024-02-02 17:21:00,27
3129,2024-02-02 17:22:00,23
3130,2024-02-02 17:23:00,5
3131,2024-02-02 17:24:00,0
3132,2024-02-02 17:25:00,0
3133,2024-02-02 17:26:00,0
3134,2024-02-02 17:27:00,0
3135,2024-02-02 17:28:00,0
3136,2024-02-02 17:29:00,0
3137,2024-02-02 17:30:00,0
3138,2024-02-02 17:31:00,0
3139,2024-02-02 17:32:00,0
3140,2024-02-02 17:33:00,0
3141,2024-02-02 17:34:00,0
3142,2024-02-02 17:35:00,0
3143,2024-02-02 17:36:00,0
3144,2024-02-02 17:37:00,0
3145,2024-02-02 17:38:00,0
3146,2024-02-02 17:39:00,0
3147,2024-02-02 17:40:00,0
3148,2024-02-02 17:42:00,0
3149,2024-02-02 17:43:00,34
3150,2024-02-02 17:44:00,87
3151,2024-02-02 17:45:00,45
3152,2024-02-02 17:46:00,24
3153,2024-02-02 17:47:00,9
3154,2024-02-02 17:49:00,11
3155,2024-02-02 17:50:00,5
3156,2024-02-02 17:51:00,0
3157,2024-02-02 17:52:00,0
3158,2024-02-02 17:53:00,10
3159,2024-02-02 17:54:00,0
3160,2024-02-02 17:55:00,0
3161,2024-02-02 17:56:00,9
3162,2024-02-02 17:57:00,0
3163,2024-02-02 17:58:00,7
3164,2024-02-02 17:59:00,0
3165,2024-02-02 18:00:00,0
3166,2024-02-02 18:01:00,0
3167,2024-02-02 18:02:00,32
3168,2024-02-02 18:03:00,9
3169,2024-02-02 18:07:00,0
3170,2024-02-02 18:08:00,0
3171,2024-02-02 18:09:00,0
3172,2024-02-02 18:10:00,0
3173,2024-02-02 18:11:00,0
3174,2024-02-02 18:12:00,0
3175,2024-02-02 18:13:00,0
3176,2024-02-02 18:14:00,0
3177,2024-02-02 18:15:00,0
3178,2024-02-02 18:24:00,33
3179,2024-02-02 18:25:00,0
3180,2024-02-02 18:26:00,0
3181,2024-02-02 18:27:00,0
3182,2024-02-02 18:28:00,0
3183,2024-02-02 18:29:00,0
3184,2024-02-02 18:30:00,0
3185,2024-02-02 18:31:00,0
3186,2024-02-02 18:32:00,0
3187,2024-02-02 18:33:00,0
3188,2024-02-02 18:34:00,0
3189,2024-02-02 18:35:00,7
3190,2024-02-02 18:36:00,0
3191,2024-02-02 18:37:00,0
